DE §19(2) StromNEV — large archetype,"Qualifies, Satz 2/3 Nr.3 (≥8,000h & >10 GWh) → floor 10%",large,"StromNEV §19(2) current text, gesetze-im-internet.de: floors 20/15/10% at 7,000/7,500/8,000h — FLOORS, not tariffs. In force through 2028; abolition scheduled with StromNEV expiry end-2028, Bandlast grandfathering intended to 31.12.2031 (BNetzA AgNes Orientierungspunkte 22.04.2026, GBK-25-01-1#3, p.17).",
DE §19(2) — medium archetype,"Does NOT qualify (5,000h < 7,000h)",medium,"Satz 2 requires ≥7,000h AND >10 GWh. Atypical-use limb (Satz 1) fails for baseload — to establish in stage 4, not assumed.",
DE 2026 transmission subsidy,"€6.5bn, federal (KTF)",both,"§24c EnWG; Gesetz BGBl. 2025 I Nr. 317, in force 12.12.2025; 2026 only. Deducted from revenue caps → ~57% cut in avg HöS charge (TSO-sourced, verbatim unverified — qc). Incidence: (iii) taxpayer.",
CN provincial basket,"JS, GD, SD, ZJ, HN, IM, SC",both,"Locked. Weights below, 2024 vintage (decision D2), held constant.",
CN weight set driving build-up,C,both,"TOGGLE: 'A' = closest-to-industrial (mixed categories); 'B' = 全社会 totals; 'C' = 第二产业 secondary industry, consistent basis, with fallbacks for GD (工业) and SC (全社会). RESOLVED (D11, user 2026-07-14): Set C.",
,,,,
"C. CHINESE BASKET WEIGHTS (2024 consumption, 亿千瓦时; weights computed = estimated Y). Active set: C (decision D11).",,,,
Province,Set A: closest-to-industrial (亿kWh),Set B: 全社会 total (亿kWh),Set C: 第二产业 (亿kWh),Category & source flag
Jiangsu 江苏,5752,8487,5752,Set A = Set C = 第二产业 (SGCC Jiangsu 2024 CSR data via jiangsu.gov.cn 2025-03-26); 全社会 8486.93 per NEA Jiangsu office.
Guangdong 广东,5216.25,9121.03,5216.25,"FLAG (Set C): GD publishes NO 第二产业 aggregate (checked grid, energy bureau, 统计年鉴2025 表7-6) — fallback to 工业 5216.25 per D11. Derived alternative 工业5217.39+建筑业102.68=5320.07 (yearbook 7-6, NBS energy classification) noted, not used."
Shandong 山东,6005.1,8319.7,6071.1,"Set A = 工业; Set C = 第二产业 6071.1 (+2.8%) — Shandong Statistics Bureau note 2025-01-22, VERIFIED."
Zhejiang 浙江,4435.4,6780,4515.5,"Set A = 工业; Set C = 第二产业 4515.5 (+7.8%) — 国网浙江 via 新华网 2025-01-20, VERIFIED (grid-company data flag)."
Henan 河南,2283.25,4319.94,2330.71,"Set A = 工业; Set C = 第二产业 2330.71 (本年累计, NEA Henan Table 2; row check 87.14+2330.71+925.09+977=4319.94 ✓), VERIFIED."
Inner Mongolia 内蒙古,4539.12,5193.41,4539.12,Set A = Set C = 第二产业. FLAG: source is industry-association republication of grid statistics (now read directly; no better official source exists — 2024 statistical bulletin has no consumption breakdown). Swing constituent — report basket with/without.
Sichuan 四川,4000,4000,2404.56,"Set C = 第二产业 2404.56 亿千瓦时 (2024, +3.36%) — Q6 CLOSED 2026-07-15 via 硕电汇/北极星 year-end summary (news.bjx.com.cn/html/20250123/1424280.shtml, image tables); components sum to 全社会 3999.69 exactly (38.84+2404.56+780.93+775.36). Set A/B still 全社会 placeholder 4000 — flagged (active set = C per D11)."
Sum,32231.12,46221.08,30829.24,
Normalised weights (formula-driven):,,,,
Province,Weight A,Weight B,Weight C,Active weight (per toggle B32)
Jiangsu 江苏,0.178461064958338,0.183617518240595,0.186576120592009,0.186576120592009
Guangdong 广东,0.161838930822137,0.197334852409334,0.169198137871709,0.169198137871709
Shandong 山东,0.186313724127489,0.179997957641838,0.196926683888412,0.196926683888412
Zhejiang 浙江,0.137612344839397,0.14668631715226,0.146468093277681,0.146468093277681
Henan 河南,0.0708399211693543,0.0934625499880141,0.0756006310891868,0.0756006310891868
Inner Mongolia 内蒙古,0.140830352777068,0.11236020447813,0.147234249044089,0.147234249044089
Sichuan 四川,0.124103661306216,0.0865406000898291,0.0779960842369128,0.0779960842369128
,,,,
D. OTHER LOCKED CONVENTIONS & SENSITIVITY INPUTS,,,,
Hedging / procurement convention,Rolling year-ahead baseload,,"Locked; identical in all three countries. Day-ahead (N2EX/EPEX) is an input, not the price. Mandatory sensitivity vs day-ahead-indexed (stage 4).",
Load-factor sensitivity (h/yr),6500,,"Mandatory: whole build-up re-run at non-qualifying load factor; German 7,000h threshold charted explicitly (stage 4).",
FX source,Federal Reserve H.10 / G.5A annual averages (via FRED),,"Decision D1, user-approved 2026-07-14. One source, all three currencies.",
Deflator,"US CPI-U annual average, NSA (BLS CUUR0000SA0)",,House rule 1. 2025 annual average final (321.943).,
Currency/unit convention,Real 2025 USD/MWh; market FX; no PPP; VAT excluded (CN series 含税 as published — Q84),,House rule 1. Chart footnote fixed.,
Snapshot years,2025 AND 2026,,All three regimes change in 2026 (UK NCC 60→90%; DE €6.5bn subsidy + §19 reform path; CN 136号文 + 4th-period T&D). 2025→2026 delta is an explicit exhibit.,
UK EII relief parameters (verified),"100% CfD/RO/FiT exemption (from 04/2024); 100% CM exemption (10/2024); NCC 60% (04/2025, backdated 04/2024) → 90% from 01.04.2026",,"DBT consultation response upd. 31.10.2025, gov.uk; SI 2024/409; SI 2026/243. Recovery: EII Support Levy on licensed suppliers — incidence (ii) other electricity users. NCC pays 12 months in arrears.",
Medium archetype E2 status,"EII status assumed — UK reliefs + DE BesAR apply (no §19: fails 7,000h)",,"Decision D24, user-approved 2026-07-15. Stated on every E2 chart.",
,,,,
"E. STAGE 8 INPUTS (evidence stage; every value tagged; blank=unavailable, NOT zero)",,,,
Real-2025 basis,"real 2025 USD (house rule 1) / real 2025 GBP (UK deflator, Stage-8 only)",,,USD via fx_deflator; GBP via HMT GDP deflator S120
Nuclear proxy WACC (real),0.07,,,Stage-8 nuclear indicative LCOE proxies (Vogtle) + Flamanville central case
Nuclear proxy life (yr),60,,,OECD/NEA convention; capital-recovery-factor basis
Capital recovery factor @7%/60yr,0.0712292255000195,,,"CRF for annualised-cost proxies (shown, not hard-coded)"
Vogtle assumed capacity factor,0.9,,,ASSUMED — Vogtle annual generation not disclosed (GAP); conservative CF on 2x1117 MW net
Vogtle net capacity (MW),2234,,,2 x 1117 MWe net (Georgia Power fact sheet / IAEA PRIS)
"Vogtle O&M+fuel assumption (USD/MWh, 2018)",20.93,,,DISCLOSED PROXY = OECD/NEA 2020 US LWR O&M 11.60 + fuel 9.33 (2018 USD); Vogtle-specific value is GAP
Flexibility baseline GB peak 2024 (GW),46,,,DUKES 5.10.A GB simultaneous max (Stage-7 anchor)
Flexibility baseline GB supplied 2024 (TWh),270.88,,,DUKES 5.1.2 (Stage-7 anchor)
Flexibility firm peak reduction low/central/high (GW),3 / 6 / 12,,,SCENARIO inputs (grounded in NIC/CT/FES ranges; this-decade firm reduction)
TNUoS demand residual 2026/27 (GBP bn),7.52,,,NESO Five-Year View (S107); fixed banded £/site/day under TCR
UK GDP deflator basis,"HMT GDP deflators June 2026, L8GG, FY, 2025-26=100",,,S120; calendar->FY map = FY starting in year Y (estimated=Y)
,,,,
"UK line losses — demand TLM (transmission), all archetypes",0.008,"Elexon BSC Section T: TLM = 1 + TLF + TLMO-. Demand takes 55% of transmission losses. TLMO- annual averages 0.0077 (BSC yr 2021/22) to 0.0118 (2024/25), 0.0092 (2026/27); Yorkshire (zone 12, GSP _M) TLF is a small negative in all seasons — exact value portal-gated, so the zonal term is set to 0 and the residual TLMO- carries it. Central 0.008, range 0.003-0.012. Cross-check: NESO puts GB transmission losses at ~1.7% of transfer, x55% = 0.94%. S197.",,
"UK line losses — distribution LLF, LARGE (CVA transmission-connected)",1,"A CVA transmission-connected site takes no distribution LLF. If the large archetype were instead 132 kV on the DNO network the figure would be 1.010 (NPg Yorkshire >22kV demand, annual blend) and the uplift would roughly double — a 1pp swing, flagged. S197.",,
"UK line losses — distribution LLF, MEDIUM (HV network)",1.024,"Northern Powergrid (Yorkshire) Annex 5, HV Network class, annual blend, charging year 2025/26. Multiplier applied to metered volume in settlement. Effectively FLAT over the panel: P1 1.032 (2017/18) -> 1.029 (2020/21) -> 1.028 (2023/24) -> 1.028 (2025/26); pre-2017 values not found, constant held and flagged. Note LV moved the OTHER way (1.110 -> 1.150) because non-technical losses land there — do not reuse this constant for LV. S197.",,
